id,brand,model,discipline,modelYear,priceText,productUrl,geometryKey
cannondale_topstone_alloy,Cannondale,Topstone 1,,,2699.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-alloy/topstone-1,Topstone Alloy
cannondale_topstone_alloy,Cannondale,Topstone 1,,,2325.0,https://www.cannondale.com/en-us/bikes/road/gravel/topstone-alloy/topstone-1-c15602u,Topstone Alloy
cannondale_supersix_evo_se,Cannondale,SuperSix EVO SE,,,5200.0,https://www.cannondale.com/en-us/bikes/road/gravel/supersix-evo-se/supersix-evo-se,SuperSix EVO SE
cannondale_synapse,Cannondale,Synapse 3,,,1299.0,https://www.cannondale.com/en-us/bikes/road/endurance/synapse/synapse-3,Synapse
cannondale_synapse_neo,Cannondale,Synapse Neo,,,9349.0,https://www.cannondale.com/en-us/bikes/electric/e-road/synapse-neo/synapse-neo-c67114u,Synapse Neo
cannondale_synapse_carbon,Cannondale,Synapse Carbon 4,,,4199.0,https://www.cannondale.com/en-us/bikes/road/endurance/synapse-carbon/synapse-carbon-4/2025,Synapse Carbon
giant_propel-advanced-sl,Giant,Propel Advanced SL,ROAD,2026,"$13,000",https://www.giant-bicycles.com/us/bikes-propel-advanced-sl,propel-advanced-sl
giant_propel-advanced-sl-2025,Giant,Propel Advanced SL,ROAD,2025,"$12,750",https://www.giant-bicycles.com/us/bikes-propel-advanced-sl-2025,propel-advanced-sl-2025
giant_propel-advanced-pro,Giant,Propel Advanced Pro,ROAD,2026,"$7,500",https://www.giant-bicycles.com/us/bikes-propel-advanced-pro,propel-advanced-pro
giant_propel-advanced,Giant,Propel Advanced,ROAD,2026,"$5,500",https://www.giant-bicycles.com/us/bikes-propel-advanced,propel-advanced
giant_tcr-advanced-sl-0--dura-ace-,Giant,TCR Advanced SL 0 (Dura-Ace),ROAD,2026,"$13,500",https://www.giant-bicycles.com/us/tcr-advanced-sl-0--dura-ace-,tcr-advanced-sl-0--dura-ace-
giant_tcr-advanced-sl-0--red-,Giant,TCR Advanced SL 0 (RED),ROAD,2026,"$13,500",https://www.giant-bicycles.com/us/tcr-advanced-sl-0--red-,tcr-advanced-sl-0--red-
giant_tcr-advanced-pro,Giant,TCR Advanced Pro,ROAD,2026,"$7,000",https://www.giant-bicycles.com/us/bikes-tcr-advanced-pro,tcr-advanced-pro
giant_tcr-advanced,Giant,TCR Advanced,ROAD,2026,"$3,300",https://www.giant-bicycles.com/us/bikes-tcr-advanced,tcr-advanced
giant_defy-advanced-sl,Giant,Defy Advanced SL,ROAD,2026,"$13,000",https://www.giant-bicycles.com/us/bikes-defy-advanced-sl,defy-advanced-sl
giant_defy-advanced-pro,Giant,Defy Advanced Pro,ROAD,2026,"$7,700",https://www.giant-bicycles.com/us/bikes-defy-advanced-pro,defy-advanced-pro
giant_defy-advanced-0,Giant,Defy Advanced 0,ROAD,2026,"$4,500",https://www.giant-bicycles.com/us/defy-advanced-0,defy-advanced-0
